article_name,country,revision_id,article_quality,population
Bir I of Kanem,Chad,355319463.0,Stub,15.4
Abdullah II of Kanem,Chad,498683267.0,Stub,15.4
Salmama II of Kanem,Chad,565745353.0,Stub,15.4
Kuri I of Kanem,Chad,565745365.0,Stub,15.4
Mohammed I of Kanem,Chad,565745375.0,Stub,15.4
Kuri II of Kanem,Chad,669719757.0,Stub,15.4
Bir II of Kanem,Chad,670893206.0,Stub,15.4
Mahamat Hissene,Chad,693055898.0,Stub,15.4
Othman I,Chad,705432607.0,Stub,15.4
Alphonse Kotiga,Chad,707593108.0,Stub,15.4
Oueddei Kichidemi,Chad,708346649.0,Start,15.4
Dunama I,Chad,710675092.0,Stub,15.4
Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,15.4
Djibrine Kerallah,Chad,712971263.0,Stub,15.4
Maurice Ngangtar,Chad,712971315.0,Stub,15.4
Idriss Miskine,Chad,712971738.0,Stub,15.4
Laoukein Kourayo Médard,Chad,716886170.0,Stub,15.4
Nadji Madou,Chad,716886788.0,Stub,15.4
Noël Milarew Odingar,Chad,716891799.0,Start,15.4
Yaya Dillo Djérou,Chad,717733209.0,Stub,15.4
Acheikh Ibn-Oumar,Chad,719821590.0,Start,15.4
Quatre Sou Quatre,Chad,720066754.0,Stub,15.4
Ali Gazi,Chad,722563340.0,Stub,15.4
Mahamat Djarma Khatir,Chad,725132042.0,Stub,15.4
Dunama IX Lefiami,Chad,731749611.0,Stub,15.4
Dawud of Kanem,Chad,736550266.0,Stub,15.4
Ahmed Koulamallah,Chad,738855197.0,Start,15.4
Abbo Nassour,Chad,741369486.0,C,15.4
Abdel Kader Baba-Laddé,Chad,742213176.0,Stub,15.4
Hummay,Chad,747271475.0,Stub,15.4
Ngarlejy Yorongar,Chad,751304544.0,C,15.4
Saleh Kezabo,Chad,751380073.0,Stub,15.4
Bourkou Louise Kabo,Chad,757072468.0,Start,15.4
Brahim Koulamallah,Chad,757802238.0,Stub,15.4
Saadie Goukouni Weddeye,Chad,757842614.0,Start,15.4
Mahamoud Adam Béchir,Chad,762579466.0,Start,15.4
Kalthouma Nguembang,Chad,762816132.0,Stub,15.4
